,prompt,model_name,file_name
59,"A surprisingly beautiful outlined portrait, existing beyond everything else, the sun sets behind the marker and a silhouette of a small sailing boat. The sketch is finished using a pack of paint lines and line fillers, creating an extremely layered finished look and then gently hidden with charcoal. The sun is larger than average as it is the main focal point of the composition. The sea has only dark tones and the sun is finished in orange tones, they are placed on an obvious white base to complement the imagination of nature., representation, spray painting, calculated finish, dynamic, illustration, 3D rendering, Photograph",v8_latent_finetune,59.png
60,logo for a numerologist's business card based on the Fibonacci principle and a pentagram in shades of blue clipart,v8_latent_finetune,60.png
61,"Create an image of a signature glass with the inscription ""MOOD Lounge Bar""
Main background should be black , and smoke imagery can be included on the glass surface",v8_latent_finetune,61.png
62,watercolour picture a summer-girl with bright red frizzy hair green eyes laughing and eating watermelon watermelon-coloured dress and flowers and butterflies around her,v8_latent_finetune,62.png
63,"Imagine a stairs and a man who is climbing the stairs Each step has different actions or achievements written on it for example ""учеба"" ""тренировки"" ""проект"" ""достижения"" The higher he climbs the more opportunities he has like new doors are opened to him or new horizons and symbols of success appear like medals or awards Above the stairs the sun or stars can be placed which would symbolise bright future and new opportunities ",v8_latent_finetune,63.png
64,a rectangle closer to a burgundy color resembles felt,v10_rl_09_lcm_lora_s8r64,64.png
65,"A couple of variants of a solitary tree with foliage standing at the pinnacle of a cliff, at the bottom of the cliff there are bare trees, all is rendered in shades of gray.",v8_latent_finetune,65.png
66,"Diagonally symmetrical, cyberpunk style space troop transport ship, highly detailed",v10_rl_09_lcm_lora_s8r64,66.png
67,"a skyscraper, a glass balcony, wooden tones, a young woman's legs in black leggins and soft octopus tentacles ",v10_rl_09_lcm_lora_s8r64,67.png
68,view of an ice yurt from the fireplace and seals sitting in chairs with cups of cocoa in their flippers by the fireplace,v10_rl_09_lcm_lora_s8r64,68.png
69,"You need to draw a soundproof booth measuring 1.2x1x2.3 m. The booth has a glass door. The booth is located in an office of a shopping mall. An overweight elderly man is sitting inside the booth. He considers himself a quadrober and is dressed in a cat mask, complete with a tail and paws.",v8_latent_finetune,69.png
70,a black-and-white sketch with gods Rod Svarog Perun Veles Mokosh Dazhbog Yarilo Marena Belobog Chernobog Svetovit Svyatobor all sitting at the table,v8_latent_finetune,70.png
71,Create a black and white tattoo sketch featuring a detailed Japanese mask with horns. A snake should be depicted winding around the mask,v8_latent_finetune,71.png
72,"A black drift car with its rear wheels in tongue of flame that skidded on the highway on a black background On the door of the car the re is an inscription ""ПРИЗРАК""",v10_rl_09_lcm_lora_s8r64,72.png
73,"A stunning, high-resolution image of a brick-walled kitchen adorned with a ceiling crafted from strawberry slices in a honeycomb pattern. The ceiling features a vibrant, intricate design with strawberry slices arranged in a honeycomb motif, each slice reflecting light beautifully. The word 'CIAFFETTI' is creatively integrated into the design, with the letters formed by carefully positioned strawberry slices to create a unique, ceiling-themed logo. The kitchen's rustic charm is enhanced by the vibrant colors and intricate details of the pattern, creating a striking, vibrant, and innovative visual that masterfully blends nature's beauty with the creative use of strawberry slices. 3D render",v10_rl_09_lcm_lora_s8r64,73.png
74,4 logos for a barbershop with stylish men's haircuts the logo should be in red and black colors,v10_rl_09_lcm_lora_s8r64,74.png
75,"a logo for misnomer product search technology AI-Finder . Concise, tech-savvy, futuristic. It should reflect the essence of the technology and show that AI is used. No text",v10_rl_09_lcm_lora_s8r64,75.png
76,"sketch of a person with thought bubbles, each contains a thing representing some job: builder's hardhat, scientist's microscope, painter's palette, soldier's helmet, and farmer's tractor.",v10_rl_09_lcm_lora_s8r64,76.png
77,"A stunning 3D logo design featuring the name 'jenifer' prominently displayed in elegant, cursive letters. The lettering exudes class and sophistication, making it ideal for branding and marketing. Set against a sleek black background, the logo is further enhanced by a gorgeous, red rose and a few scattered petals, adding a touch of romance and luxury to the overall design.",v10_rl_09_lcm_lora_s8r64,77.png
78,"a man, a woman and a child, a silhouette from behind",v10_rl_09_lcm_lora_s8r64,78.png
79,create a picture of an empty room with white walls sized 5 by 4 meters and one shorter wall with a threefold window,v8_latent_finetune,79.png
80,"Create a sticker set featuring vibrant floral illustrations, each showcasing a different flower species against a minimalist white background. From elegant roses to cheerful sunflowers, these stickers will bring a burst of color and beauty to messages and notes, allowing users to convey messages with a touch of natural charm.",v8_latent_finetune,80.png
81,"A fairy-tale character, tall, with a long nose, open eyes, cheerful, small ears, wearing a shirt and a funny hat.",v8_latent_finetune,81.png
82,"Visualize an image that effectively illustrates the issue of the lack of hygiene and sanitary conditions in medical institutions. Central to the composition is a female patient sitting on a hospital beg with an IV attached to her. She is surrounded by used syringes and cotton balls. Next to her is a dirty sink with no water or soap. A nurse wearing a white overall is looking at the camera, her face expressing concern and worry. The room looks messy: shelves are covered with dust",v8_latent_finetune,82.png
83,roses yellow green and red,v8_latent_finetune,83.png
84,"A colorful and delightful illustration of many different unicorns cats and spider designs for children to paint. The animals vary in shapes, sizes, and patterns, including simple designs, and interaction between them. The overall illustration has a playful and cheerful atmosphere, perfect for inspiring young artists to explore their creativity.",v8_latent_finetune,84.png
85,"A green apple placed on a flat grey surface with a caterpillar seemingly halfway entered through a hole at the bottom, while a beautiful butterfly attached on it's stem, winga spread wide., product, vibrant, cinematic, photo",v8_latent_finetune,85.png
86,"Find a picture of mountains, in the foreground a green hill on the right, behind a green hill large red mountains on the left, behind red mountains white mountains and blue sky, without white clouds",v8_latent_finetune,86.png
87,"a boy wearing a rabbit fur hat and a mouton fur coat, the child is wrapped up to the face the hat should have no earflaps",v10_rl_09_lcm_lora_s8r64,87.png
88,"on the left, a black and white cartoon style cute penguin a coloring book. On the right, the same image but in color",v10_rl_09_lcm_lora_s8r64,88.png
89,four white mice wearing black glasses with hats in paws presents dancing “с днём рождения” is written on the background,v10_rl_09_lcm_lora_s8r64,89.png
90,"ON the blue BACKground, green letters shaped as cactuses make up the word “cactus”",v10_rl_09_lcm_lora_s8r64,90.png
91,"a heated, glass-encased banquet veranda stretching over an area of 65 square meters, with 17 round tables arranged to accommodate six individuals each",v8_latent_finetune,91.png
92,"a logo for a voice development and personal branding school called ""ЗВУЧИ СЕБЯ"" a moon symbol a circular spiral at the center a microcosm five rays to the sides the vitruvian man style brand logos minimalistic style the star of david clear lines the bronze colour on a black background",v8_latent_finetune,92.png
93,"a male cat and a female cat dancing rumba, beautiful, 4K, aesthetically pleasing, anime style, highly detailed, high resolution",v8_latent_finetune,93.png
94,"a poster for a New Year children’s matinee «Новогодняя Рапсодия: или как Горыныч рок-звездой хотел стать», the characters are Ded Moroz, Snegurochka, Town Musicians of Bremen, Baba Yaga, Zmei Gorynich",v10_rl_09_lcm_lora_s8r64,94.png
95,"Create a rectangular album cover using this description

1. Minimalist design: Use a monochromatic background (such as light blue or cream) and add a central image that represents your love (such as a heart, a silhouette of two people, or a photo of the two of you). At the top, you can write the name of the album in a beautiful font.",v10_rl_09_lcm_lora_s8r64,95.png
96,"The protagonist of Baldur's Gate 1, Abdel Adrian, was a hulking two-meter-tall man looking like a young Keanu Reeves: he had long black hair and a stern look prophoto 30 mm lens 1/1000s f/2.8 ISO 100 UHD",v10_rl_09_lcm_lora_s8r64,96.png
97,"A 3D render of a luxurious setting with a magnificent crown adorned with sparkling diamonds. The crown is placed next to a velvet heart-shaped object With The name' Emilio y Nancy. A striking red rose with its petals artfully arranged stands proudly near the crown.. Scattered around are glistening diamonds and gemstones, adding to the extravagant display. At the base, a golden 3D plaque bears the name 'Nancy y Emilio The composition is framed against a gradient backdrop, seamlessly blending deep gray at the top to a lighter shade at the bottom.",v8_latent_finetune,97.png
98,"Imagine a picture showing a group of three large companies dominating the market. These companies take the form of modern skyscrapers with each company having its logo on top of the corresponding building. A road — representing the market — runs between the buildings, with cars — representing consumers — moving along it. In the upper part of the image there are clouds containing various innovative technologies: artificial intelligence, big data, Internet of Things, among others.",v8_latent_finetune,98.png
99,"A dynamic composition ink drawing depicting a four-legged dragon with its head turned left, wings spread wide, and an arrow-tipped tail. The dragon is protecting a fragile maiden lying beneath it",v8_latent_finetune,99.png
100,Of a cozy broadcasting studio with interactive elements that allow viewers to engage with the presentation Pop-up windows with questions or polls Cameras,v8_latent_finetune,100.png
101,"of a young crazy programmer with a very large coffee mug, short dishevelled hair, trimmed beard and face twisted with anger, busy typing on a computer keyboard",v8_latent_finetune,101.png
102,a postcard for a Chechen wedding on the background of winter mountains with a lake and painted bride and groom who stand stand far apart without touching.,v10_rl_09_lcm_lora_s8r64,102.png
103,"a close-up image of a Soviet string bag made of rope, inside there is a sausage, a bottle of vodka, a loaf of black bread, hanging on the wall",v8_latent_finetune,103.png
104,"Desert, camel smoking a cigarette, sandy dust, beautiful, full-length. In profile. Camel logo. 30mm lens, 1/250s, f/2.8, 8k, 3D, fantasy, perspective, fauna, flora",v8_latent_finetune,104.png
105," big, red, cartoon-style TV on the wall with a boiled crawfish on the screen",v10_rl_09_lcm_lora_s8r64,105.png
106,"draw me two buildings side by side: one is a one-storey shop with display windows, it's 100 m long, 50 m wide, hip roof, the other one is two-storey building extension, with new-build houses in the background",v10_rl_09_lcm_lora_s8r64,106.png
107,Minimalistic sign in the logo for the Siberian brand of stone jewelry brand that embodies all the beauty strength and uniqueness of Siberia Each piece is created with love and attention to detail to convey the warmth and spirit of this amazing region.,v10_rl_09_lcm_lora_s8r64,107.png
108,fox-football player character with short black hair swept back and flowing in the wind standing in place in full height windy weather watercolor painting ,v10_rl_09_lcm_lora_s8r64,108.png
109,"A luxurious career ladder made of marble. Dozens of people sit and stand at its base wearing various clothes: movers, middle managers, logistics specialists, secretaries.
At the top of the ladder, there are 3 people: two men and one girl. They are luxuriously dressed and discussing strategy. 
The image is of high quality",v8_latent_finetune,109.png
110,"A meticulously crafted white gold engagement ring. At the top of the ring lay three rectangular baguette-cut diamonds, positioned lengthwise along the band of the ring. One of the three rectangular diamonds is slightly elevated compared to the other two.",v8_latent_finetune,110.png
111,"A side profile of a female figure with a sleek black hairstyle tied in a ponytail. She wears a mustard-colored sweater that features a large, detailed illustration of a lion's face. The woman also sports striking red lipstick and a unique yellow earring with a square shape. The background is a muted beige with subtle brush strokes, giving it an artistic feel. 8K.UHD.3D.Painting, fashion, illustration, vibrant.The creator's signature, 'SONIA M', is placed at the bottom right corner, perfectly readable.Date 04/10/2024'.",v8_latent_finetune,111.png
112,a cute water sprite who lies on his stomach in a lake,v8_latent_finetune,112.png
113,"a bathroom with a wood-effect tiled wall, in front of it there's a grey bathtub with a screen, grey flooring, and the other walls are also grey.",v8_latent_finetune,113.png
114,"Help me create a model of a car like no other. It is very unrealistic but it works! The car is parked beautifully at the side of a mountain moreover, the car has a little number plate at the bottom which shows the following name - Nx.",v10_rl_09_lcm_lora_s8r64,114.png
115,"a beautiful white vase with peonies, ranunculus, hippeastrums, lilies, hydrangeas and rainbow roses. gift boxes",v10_rl_09_lcm_lora_s8r64,115.png
116,"Create an image of an orange contemporary car in outline form, positioned such that it's facing 45 degrees forward. Make the car transparent",v10_rl_09_lcm_lora_s8r64,116.png
117,"Bath tub in the shape of an hourglass. The upper part has 8 facets, The lower part has 8 facets. The lower part is smaller than the upper one. In the lower part there is a wood-burning stove for heating water in the upper part. The bath tub is made of iron and painted in brown color. The bath tub stands in the backyard of the cottage.",v10_rl_09_lcm_lora_s8r64,117.png
118,an illustration in subdued colors representing the concept of deindividuation a multitude of identical people but one of them slightly stands out from the rest,v8_latent_finetune,118.png
119,"a ninja and his girlfriend, both superheroes: the girl has the power of a plant and the ninja — that of an emerald",v8_latent_finetune,119.png
120,A plump boy wearing glasses and sporting attire is stuck in a green grid-style gate. a security guard unable to guess the password of the lock on the gate opts to open the adjacent gate styled similarly to the grid gate.,v10_rl_09_lcm_lora_s8r64,120.png
121,"A photo of a Victorian-era family dressed in steampunk attire aboard their brass-adorned airship. The father, wearing a top hat and goggles, stands behind the controls. The mother, in a lavish gown, gazes at the city's sunset. The youngest child plays with a brass robot. The older children manipulate the airship's levers and dials. The family's joyous expressions and the airship's intricate design capture the essence of adventure, wonder, and the fusion of past and future.",v10_rl_09_lcm_lora_s8r64,121.png
122,"A DND illustration in technofantasy style. a portrait of a raider with tattoos on his hands and a scar on his face, who is standing in a dark tunnel of an old underground. Other raiders can be seen around him, their faces hidden in the shadows. The atmosphere is tense, the walls are wet with dripping water, with ",v10_rl_09_lcm_lora_s8r64,122.png
123,"High-quality still life with various haberdashery items: leather wallets, elegant handbags, stylish keychains, and high-class pens. The materials and finishing are exquisite and refined.",v10_rl_09_lcm_lora_s8r64,123.png
124,"A delightful collection of kawaii panda stickers on a pristine white background. Each fox illustration is vibrant, with varying colors and playful expressions. The panda are depicted in various poses, some holding hearts, some wearing cute hats, and others performing adorable dances. The overall design is whimsical and charming, perfect for adding a light-hearted and joyful touch to messages, social media posts, and digital communications.",v10_rl_09_lcm_lora_s8r64,124.png
125,"happy cute girls and boys with well-drawn eyes wearing winter clothes near a Christmas tree with bright Christmas toys, in the courtyard of an apartment complex, snow all around, high detail, glow, high resolution, depth, hyperrealism, Octane render, f/2.8, ISO 200.",v8_latent_finetune,125.png
126,"A colorful 3d realistic ultra sharp gel ink illustration of a black and tan Yorkie puppy tenderly hugging a cute duck stuffed animal wearing a white sweater and text that says ""THANKS ROTUNDA""",v8_latent_finetune,126.png
127,a floor plan of a single-story private house with the following rooms entrance area terrace kitchen-dining room two storage rooms laundry room large hall living room personal office walk-in closet shared bathroom three master bedrooms screened porch boiler room,v8_latent_finetune,127.png
128,schematic hammer sickle and screwdriver in black arranged in a single row to be included in a child's report,v8_latent_finetune,128.png
129,"An ancient castle nestled in a desert landscape at the entrance, green ivy grows mysterious symbols are etched onto the entrance which is located in a rock ruines of an ancient castle in a desert art oil contour pretty",v8_latent_finetune,129.png
130,"a balloon is floating in space on which a dog is perched, surrounding the balloon are extraterrestrial beings who are captured by goblins dressed as military officers, goblins are holding weapons and nets and extraterrestrials are trying  to evade their grasp, in the distance you can see other spacecrafts and planets
",v8_latent_finetune,130.png
131,"the flag features a snake and a fly, high resolution, exposure depth, triple exposure, grunge textures, VSCO filter,",v8_latent_finetune,131.png
132,"Create an image:
* *The rune of darkness** represented by an inverted triangle, mimicking the entrance of a cave.
* The rune of light exemplified as an upright triangle, symbolizing a beam of sunlight.
* The rune of truth shows two crossed straight lines denoting firm truth.
* The rune of lies is a twisting line, changing direction similar to a deceit.
* The rune of beginnings portrays a circle split into four equal sections, each containing one of the aforementioned symbols.",v10_rl_09_lcm_lora_s8r64,132.png
133,"A mother with light wavy mid-lengt hair and her ten-year-old son are smiling and going somewhere holding hands, they are being friends on a summer day, the meadow is full of butterflies, poppies, mayweed and cornflowers, mountains with snowed peaks can be seen in the distance ",v10_rl_09_lcm_lora_s8r64,133.png
134,"a cartoon-like Snow leopard for children in a Kazakh national costume, in the background there are an ocean and a rock, on which a lone wisteria grows blooming and shining with a violet-blue light as well as a star-lit sky that has a big moon and shows a meteor shower and there are Chinese lanterns rising up into the sky",v10_rl_09_lcm_lora_s8r64,134.png
135,"Create an image that depicts a “Generator” — an artificial intelligence capable of creating images from user text prompts. This Generator is situated within a vast hall surrounded by multifarious screens displaying various scenes and images it has previously created. Around it, engineers and programmers vigilantly monitor its operation, calibrating the parameters of the created images. The focal point for the viewer happens to be the Generator itself. It’s a colossal machine with numerous blink",v8_latent_finetune,135.png
136,"High detail, high quality. Generate a hyperrealistic image of a dog in a dynamic pose.  The scene should have a strong sense of synthetic and electric energy, with a focus on high detail in the environment and the dog's visual appearance. The dog's character should be reflected in the environment and visual details. Pay close attention to high-resolution detail, especially in the finer features of the image. Render the image with a wide depth of field and a 16K resolution.",v10_rl_09_lcm_lora_s8r64,136.png
137,"a tall glass cup with lines drawn across it at 1 cm intervals. Within each lined section are the following bold text 'self-love', confidence, peace, hope, bliss. A glass transparent tea kettle filled with pink tea is filling the cup. There is text at the bottom that says, make sure you are filling your cup with what you need., typography",v10_rl_09_lcm_lora_s8r64,137.png
138,"This delicate bouquet is composed of light pink peonies, white daisies, and light orange gerberas. It exudes the fragrance of a summer garden and reminds of warm sunny days. The flowers harmoniously blend with each other, creating a vivid and joyful impression. This kind of bouquet would make the perfect birthday gift for your beloved aunt.",v10_rl_09_lcm_lora_s8r64,138.png
139,"A very beautiful African noblewoman with long green hair and a very handsome African nobleman with blue hair sitting at a table in a beautiful aristocratic home, enjoying a meal, in a well-colored image., illustration",v10_rl_09_lcm_lora_s8r64,139.png
140,"a bottle of tequila against a background of a desert with blue agaves, a blue liquid in the bottle, an inscription on the bottle reads Magic drink",v10_rl_09_lcm_lora_s8r64,140.png
141,"room design 6m x 3m minimalistic, table, chair, drawer unit, sliding door wardrobe, TV set, bedside table, rabbit hutch",v8_latent_finetune,141.png
142,logo with separate images of Ice as ice floes and snowflakes Air as leaves in the wind Lightning as lightning bolts Earth as crystals and stones,v8_latent_finetune,142.png
